pharmacies_id,name,address,contact,open_hour,close_hour
1,행복한 약국,경기도 하남시 동작구 논현 311,031-900-4731,09:00:00,18:00:00
2,21세기 약국,경기도 성남시 도봉구 잠실 27,031-892-4214,09:00:00,18:00:00
3,힐링 약국,경기도 의왕시 송파구 논현 881,031-488-1296,09:00:00,18:00:00
4,힐링 약국,경기도 하남시 송파구 봉은사 54,031-496-7180,09:00:00,18:00:00
5,메디팜 약국,경기도 광명시 광진구 강남대 719,031-537-3257,09:00:00,18:00:00
6,건강누리 약국,경기도 군포시 강동구 논현 121,031-730-7024,09:00:00,18:00:00
7,미래약국,경기도 화성시 서대문구 석촌호수 352,031-547-1949,09:00:00,18:00:00
8,우리들 약국,경기도 남양주시 강남구 서초대 95,031-702-1164,09:00:00,18:00:00
9,우리들 약국,경기도 광명시 영등포구 논현 766,031-870-9785,09:00:00,18:00:00
10,사랑의 약국,경기도 성남시 성북구 테헤란 822,031-115-5094,09:00:00,18:00:00
11,21세기 약국,경기도 고양시 관악구 논현 59,031-229-8185,09:00:00,18:00:00
12,메디팜 약국,경기도 의정부시 강북구 학동 45,031-421-6728,09:00:00,18:00:00
13,사랑의 약국,경기도 남양주시 종로구 테헤란 300,031-232-7517,09:00:00,18:00:00
14,튼튼 약국,경기도 용인시 북구 양재천 673,031-178-2251,09:00:00,18:00:00
15,희망 약국,경기도 이천시 성북구 영동대 211,031-606-6848,09:00:00,18:00:00
16,우리들 약국,경기도 군포시 서초구 가락 731,031-409-7011,09:00:00,18:00:00
17,힐링 약국,경기도 의정부시 중구 압구정 890,031-769-5001,09:00:00,18:00:00
18,힐링 약국,경기도 평택시 금천구 역삼 327,031-814-9870,09:00:00,18:00:00
19,힐링 약국,경기도 용인시 노원구 개포 56,031-454-7731,09:00:00,18:00:00
20,사랑의 약국,경기도 하남시 관악구 가락 287,031-180-4335,09:00:00,18:00:00
21,메디팜 약국,경기도 오산시 성동구 봉은사 237,031-412-4453,09:00:00,18:00:00
22,건강누리 약국,경기도 파주시 동작구 언주 743,031-935-3325,09:00:00,18:00:00
23,21세기 약국,경기도 남양주시 영등포구 역삼 716,031-550-8434,09:00:00,18:00:00
24,건강누리 약국,경기도 수원시 영등포구 선릉 511,031-956-1553,09:00:00,18:00:00
25,희망 약국,경기도 평택시 도봉구 서초대 603,031-493-5921,09:00:00,18:00:00
26,건강누리 약국,경기도 성남시 강서구 학동 286,031-975-7290,09:00:00,18:00:00
27,튼튼 약국,경기도 수원시 관악구 논현 884,031-491-7302,09:00:00,18:00:00
28,튼튼 약국,경기도 성남시 양천구 반포대 230,031-310-7214,09:00:00,18:00:00
29,메디팜 약국,경기도 광명시 중랑구 오금 546,031-153-5999,09:00:00,18:00:00
30,21세기 약국,경기도 이천시 동구 잠실 782,031-456-1425,09:00:00,18:00:00
31,사랑의 약국,경기도 시흥시 서구 삼성 945,031-948-5301,09:00:00,18:00:00
32,사랑의 약국,경기도 화성시 남구 테헤란 776,031-128-6586,09:00:00,18:00:00
33,사랑의 약국,경기도 광명시 광진구 반포대 887,031-537-1935,09:00:00,18:00:00
34,건강누리 약국,경기도 이천시 송파구 석촌호수 398,031-838-5709,09:00:00,18:00:00
35,힐링 약국,경기도 군포시 성동구 강남대 435,031-686-9501,09:00:00,18:00:00
36,희망 약국,경기도 안산시 도봉구 봉은사 984,031-490-8656,09:00:00,18:00:00
37,우리들 약국,경기도 부천시 강서구 언주 930,031-115-5598,09:00:00,18:00:00
38,희망 약국,경기도 고양시 광진구 잠실 256,031-889-9893,09:00:00,18:00:00
39,희망 약국,경기도 시흥시 서구 양재천 585,031-504-1632,09:00:00,18:00:00
40,사랑의 약국,경기도 평택시 도봉구 선릉 371,031-375-5104,09:00:00,18:00:00
41,사랑의 약국,경기도 수원시 남구 삼성 128,031-414-6259,09:00:00,18:00:00
42,희망 약국,경기도 안산시 강남구 양재천 455,031-573-1282,09:00:00,18:00:00
43,튼튼 약국,경기도 수원시 서대문구 학동 478,031-137-6877,09:00:00,18:00:00
44,튼튼 약국,경기도 이천시 금천구 강남대 224,031-518-1959,09:00:00,18:00:00
45,사랑의 약국,경기도 고양시 북구 선릉 284,031-724-6145,09:00:00,18:00:00
46,건강누리 약국,경기도 군포시 동구 선릉 185,031-364-5524,09:00:00,18:00:00
47,희망 약국,경기도 하남시 노원구 테헤란 131,031-332-3858,09:00:00,18:00:00
48,메디팜 약국,경기도 의왕시 노원구 서초대 672,031-150-4812,09:00:00,18:00:00
49,건강누리 약국,경기도 성남시 광진구 역삼 189,031-800-9302,09:00:00,18:00:00
50,튼튼 약국,경기도 안성시 종로구 서초대 325,031-142-4734,09:00:00,18:00:00
51,21세기 약국,경기도 평택시 동작구 백제고분 999,031-363-1264,09:00:00,18:00:00
52,미래약국,경기도 이천시 서대문구 봉은사 736,031-145-4845,09:00:00,18:00:00
53,미래약국,경기도 용인시 용산구 가락 80,031-619-8271,09:00:00,18:00:00
54,건강누리 약국,경기도 오산시 서대문구 도산대 80,031-342-4343,09:00:00,18:00:00
55,미래약국,경기도 안성시 도봉구 논현 381,031-949-7815,09:00:00,18:00:00
56,건강누리 약국,경기도 광명시 강남구 논현 897,031-389-3344,09:00:00,18:00:00
57,21세기 약국,경기도 시흥시 도봉구 논현 622,031-907-6902,09:00:00,18:00:00
58,미래약국,경기도 광명시 광진구 언주 919,031-767-7139,09:00:00,18:00:00
59,튼튼 약국,경기도 의정부시 송파구 개포 637,031-131-3626,09:00:00,18:00:00
60,미래약국,경기도 성남시 구로구 테헤란 298,031-253-1418,09:00:00,18:00:00
61,건강누리 약국,경기도 의왕시 구로구 서초중앙 217,031-927-6129,09:00:00,18:00:00
62,힐링 약국,경기도 오산시 종로구 석촌호수 803,031-695-6636,09:00:00,18:00:00
63,우리들 약국,경기도 김포시 동작구 석촌호수 851,031-696-1534,09:00:00,18:00:00
64,메디팜 약국,경기도 김포시 영등포구 논현 781,031-764-2285,09:00:00,18:00:00
65,건강누리 약국,경기도 남양주시 서구 오금 579,031-615-9982,09:00:00,18:00:00
66,행복한 약국,경기도 이천시 은평구 테헤란 751,031-224-9646,09:00:00,18:00:00
67,21세기 약국,경기도 의왕시 동대문구 오금 484,031-775-9592,09:00:00,18:00:00
68,힐링 약국,경기도 군포시 동대문구 학동 325,031-375-4195,09:00:00,18:00:00
69,사랑의 약국,경기도 의정부시 송파구 봉은사 933,031-349-6385,09:00:00,18:00:00
70,우리들 약국,경기도 파주시 중랑구 반포대 237,031-566-6157,09:00:00,18:00:00
71,건강누리 약국,경기도 남양주시 구로구 서초대 456,031-850-7716,09:00:00,18:00:00
72,미래약국,경기도 고양시 동구 강남대 361,031-673-9284,09:00:00,18:00:00
73,건강누리 약국,경기도 파주시 중구 서초중앙 670,031-595-4774,09:00:00,18:00:00
74,튼튼 약국,경기도 광명시 서초구 개포 236,031-683-3052,09:00:00,18:00:00
75,힐링 약국,경기도 남양주시 관악구 오금 796,031-517-3263,09:00:00,18:00:00
76,사랑의 약국,경기도 평택시 강동구 선릉 815,031-393-6596,09:00:00,18:00:00
77,미래약국,경기도 용인시 남구 학동 84,031-518-7898,09:00:00,18:00:00
78,힐링 약국,경기도 부천시 동작구 가락 590,031-606-4245,09:00:00,18:00:00
79,메디팜 약국,경기도 군포시 강북구 양재천 16,031-270-2979,09:00:00,18:00:00
80,행복한 약국,경기도 평택시 송파구 봉은사 784,031-667-8698,09:00:00,18:00:00
81,건강누리 약국,경기도 부천시 서구 석촌호수 891,031-134-8068,09:00:00,18:00:00
82,21세기 약국,경기도 안산시 송파구 서초중앙 75,031-235-9436,09:00:00,18:00:00
83,힐링 약국,경기도 김포시 종로구 압구정 926,031-532-6805,09:00:00,18:00:00
84,메디팜 약국,경기도 김포시 남구 백제고분 714,031-670-4955,09:00:00,18:00:00
85,희망 약국,경기도 용인시 구로구 삼성 345,031-944-6515,09:00:00,18:00:00
86,사랑의 약국,경기도 의왕시 중구 양재천 632,031-210-1741,09:00:00,18:00:00
87,건강누리 약국,경기도 파주시 중구 논현 973,031-559-7699,09:00:00,18:00:00
88,튼튼 약국,경기도 광명시 북구 잠실 297,031-875-8816,09:00:00,18:00:00
89,메디팜 약국,경기도 안산시 송파구 선릉 742,031-884-9345,09:00:00,18:00:00
90,건강누리 약국,경기도 부천시 성북구 백제고분 918,031-107-7060,09:00:00,18:00:00
91,튼튼 약국,경기도 김포시 은평구 논현 329,031-549-3895,09:00:00,18:00:00
92,힐링 약국,경기도 안성시 강서구 역삼 287,031-891-2587,09:00:00,18:00:00
93,우리들 약국,경기도 의정부시 성북구 강남대 506,031-449-1791,09:00:00,18:00:00
94,사랑의 약국,경기도 오산시 광진구 압구정 919,031-637-9326,09:00:00,18:00:00
95,행복한 약국,경기도 의정부시 중구 역삼 331,031-493-6219,09:00:00,18:00:00
96,메디팜 약국,경기도 부천시 노원구 테헤란 43,031-933-4451,09:00:00,18:00:00
97,행복한 약국,경기도 오산시 관악구 서초중앙 285,031-688-6150,09:00:00,18:00:00
98,건강누리 약국,경기도 파주시 강서구 백제고분 292,031-269-2942,09:00:00,18:00:00
99,희망 약국,경기도 평택시 서대문구 도산대 499,031-549-4664,09:00:00,18:00:00
100,메디팜 약국,경기도 의정부시 용산구 백제고분 962,031-365-2738,09:00:00,18:00:00
