drug_id,name,ingredient_list,hira_code,medication_method
1,알마메드,"['암로디핀']",647066672,1회 1캡슐 1일 1회 취침 전 복용
2,플루큐,"['세파클러', '아목시실린']",641669963,"1회 1정 1일 2회 아침, 저녁 식후 복용"
3,플루메드,"['로사르탄칼륨', '아세트아미노펜']",647685596,1회 10ml씩 1일 3회 복용
4,세파캡슐,"['로사르탄칼륨', '아목시실린']",647897163,1회 1캡슐 1일 1회 취침 전 복용
5,알마시럽,"['로사르탄칼륨']",647444496,1회 1~2정씩 1일 3회 식후 복용
6,판토메드,"['클라리트로마이신', '아세트아미노펜']",643908381,1회 5ml 1일 2~3회 복용
7,알마골드,"['세파클러', '레보설피리드']",646289668,1회 1캡슐 1일 1회 취침 전 복용
8,듀파시럽,"['암로디핀']",646988842,1회 1캡슐 1일 1회 취침 전 복용
9,알마큐,"['판토프라졸', '암로디핀']",642658405,1회 1캡슐 1일 1회 취침 전 복용
10,플루릴정,"['아목시실린']",647958049,1회 5ml 1일 2~3회 복용
11,듀파캡슐,"['아목시실린']",644882576,"1회 1정 1일 2회 아침, 저녁 식후 복용"
12,타이레에이,"['이부프로펜']",643058915,1회 1캡슐 1일 1회 취침 전 복용
13,듀파릴정,"['세파클러', '판토프라졸']",648971038,1회 1캡슐 1일 1회 취침 전 복용
14,타이레캡슐,"['이토프리드염산염', '세파클러']",649724497,1회 5ml 1일 2~3회 복용
15,알마정,"['세파클러', '아목시실린']",644485174,1회 5ml 1일 2~3회 복용
16,암로캡슐,"['판토프라졸']",646818843,1회 50mg을 1일 3회 식전에 복용
17,듀파골드,"['이토프리드염산염']",646611537,"1회 1정 1일 2회 아침, 저녁 식후 복용"
18,타이레메드,"['이토프리드염산염']",641775516,1회 1캡슐 1일 1회 취침 전 복용
19,가나메드,"['암로디핀']",649204949,"1회 1정 1일 2회 아침, 저녁 식후 복용"
20,세파시럽,"['로사르탄칼륨', '판토프라졸']",649749439,1회 50mg을 1일 3회 식전에 복용
21,알마캡슐,"['이토프리드염산염']",640821897,1회 1캡슐 1일 1회 취침 전 복용
22,듀파플러스,"['아세트아미노펜', '판토프라졸']",646682123,1회 5ml 1일 2~3회 복용
23,알마캡슐,"['로사르탄칼륨']",643281053,1회 1캡슐 1일 1회 취침 전 복용
24,판토놀,"['레보설피리드']",645872600,"1회 1정 1일 2회 아침, 저녁 식후 복용"
25,판토플러스,"['클라리트로마이신']",646692224,1회 50mg을 1일 3회 식전에 복용
26,가나플러스,"['레보설피리드']",648948082,1회 10ml씩 1일 3회 복용
27,뮤코플러스,"['판토프라졸', '아세트아미노펜']",647063424,1회 50mg을 1일 3회 식전에 복용
28,암로에이,"['아목시실린', '로사르탄칼륨']",649009309,1회 1~2정씩 1일 3회 식후 복용
29,이부시럽,"['아세트아미노펜', '세파클러']",646809686,1회 5ml 1일 2~3회 복용
30,암로메드,"['이부프로펜']",646181170,1회 10ml씩 1일 3회 복용
31,가나메드,"['암로디핀']",644789773,1회 50mg을 1일 3회 식전에 복용
32,플루큐,"['세파클러', '이토프리드염산염']",641902770,1회 1~2정씩 1일 3회 식후 복용
33,판토에이,"['클라리트로마이신']",645139170,1회 50mg을 1일 3회 식전에 복용
34,이부메드,"['이부프로펜']",647570988,1회 10ml씩 1일 3회 복용
35,타이레큐,"['아세트아미노펜', '로사르탄칼륨']",646005828,"1회 1정 1일 2회 아침, 저녁 식후 복용"
36,세파시럽,"['로사르탄칼륨']",641866305,1회 1캡슐 1일 1회 취침 전 복용
37,알마정,"['세파클러']",648121439,1회 5ml 1일 2~3회 복용
38,이부큐,"['아세트아미노펜']",648182594,1회 50mg을 1일 3회 식전에 복용
39,세파에이,"['레보설피리드', '암로디핀']",645186576,"1회 1정 1일 2회 아침, 저녁 식후 복용"
40,플루메드,"['아세트아미노펜']",642184821,1회 1캡슐 1일 1회 취침 전 복용
41,타이레메드,"['이토프리드염산염']",645275323,1회 1캡슐 1일 1회 취침 전 복용
42,가나놀,"['아세트아미노펜']",646479169,1회 1~2정씩 1일 3회 식후 복용
43,알마메드,"['아목시실린', '세파클러']",647471914,1회 10ml씩 1일 3회 복용
44,이부정,"['세파클러', '아목시실린']",646078624,1회 50mg을 1일 3회 식전에 복용
45,타이레정,"['판토프라졸']",643962783,1회 1~2정씩 1일 3회 식후 복용
46,뮤코에이,"['이토프리드염산염']",644701455,1회 1캡슐 1일 1회 취침 전 복용
47,판토골드,"['암로디핀', '아세트아미노펜']",642561086,1회 50mg을 1일 3회 식전에 복용
48,뮤코정,"['암로디핀', '판토프라졸']",641447466,1회 5ml 1일 2~3회 복용
49,가나골드,"['세파클러']",644367808,1회 50mg을 1일 3회 식전에 복용
50,뮤코놀,"['아목시실린', '레보설피리드']",645113875,1회 10ml씩 1일 3회 복용
51,플루에이,"['이토프리드염산염', '이부프로펜']",646284891,1회 1캡슐 1일 1회 취침 전 복용
52,알마시럽,"['아세트아미노펜']",642141239,1회 10ml씩 1일 3회 복용
53,암로큐,"['아세트아미노펜', '클라리트로마이신']",649611798,1회 5ml 1일 2~3회 복용
54,세파골드,"['로사르탄칼륨', '아목시실린']",648194987,"1회 1정 1일 2회 아침, 저녁 식후 복용"
55,가나메드,"['이부프로펜']",649973274,"1회 1정 1일 2회 아침, 저녁 식후 복용"
56,이부릴정,"['로사르탄칼륨']",646781501,1회 10ml씩 1일 3회 복용
57,타이레정,"['아목시실린', '판토프라졸']",647328702,1회 5ml 1일 2~3회 복용
58,세파정,"['이토프리드염산염', '아목시실린']",644631273,1회 1캡슐 1일 1회 취침 전 복용
59,세파시럽,"['세파클러']",642152697,1회 1~2정씩 1일 3회 식후 복용
60,판토메드,"['클라리트로마이신', '아목시실린']",649751642,"1회 1정 1일 2회 아침, 저녁 식후 복용"
61,암로플러스,"['암로디핀']",640051371,1회 50mg을 1일 3회 식전에 복용
62,알마캡슐,"['아세트아미노펜', '클라리트로마이신']",641095727,"1회 1정 1일 2회 아침, 저녁 식후 복용"
63,플루정,"['암로디핀', '이토프리드염산염']",648247714,1회 10ml씩 1일 3회 복용
64,세파정,"['이부프로펜']",645832176,"1회 1정 1일 2회 아침, 저녁 식후 복용"
65,가나에이,"['판토프라졸', '세파클러']",648204487,1회 5ml 1일 2~3회 복용
66,가나캡슐,"['레보설피리드']",646665547,1회 50mg을 1일 3회 식전에 복용
67,가나메드,"['세파클러', '아세트아미노펜']",640694641,1회 50mg을 1일 3회 식전에 복용
68,듀파에이,"['판토프라졸', '로사르탄칼륨']",649712080,1회 10ml씩 1일 3회 복용
69,암로메드,"['이부프로펜', '아세트아미노펜']",641421478,1회 5ml 1일 2~3회 복용
70,이부정,"['판토프라졸']",645908755,1회 1캡슐 1일 1회 취침 전 복용
71,세파큐,"['아세트아미노펜']",640822775,1회 1~2정씩 1일 3회 식후 복용
72,세파놀,"['이토프리드염산염', '이부프로펜']",641851199,1회 50mg을 1일 3회 식전에 복용
73,암로플러스,"['아세트아미노펜']",643631865,1회 50mg을 1일 3회 식전에 복용
74,뮤코플러스,"['클라리트로마이신', '레보설피리드']",642677317,1회 1~2정씩 1일 3회 식후 복용
75,듀파캡슐,"['아목시실린']",647245924,1회 1캡슐 1일 1회 취침 전 복용
76,뮤코놀,"['암로디핀']",649147184,1회 10ml씩 1일 3회 복용
77,암로플러스,"['아목시실린', '이부프로펜']",643333684,1회 1캡슐 1일 1회 취침 전 복용
78,판토에이,"['이토프리드염산염']",641650198,"1회 1정 1일 2회 아침, 저녁 식후 복용"
79,뮤코시럽,"['아세트아미노펜']",649795076,1회 1~2정씩 1일 3회 식후 복용
80,알마정,"['아세트아미노펜', '이토프리드염산염']",646070883,1회 1캡슐 1일 1회 취침 전 복용
81,암로플러스,"['로사르탄칼륨', '이토프리드염산염']",647160831,1회 1캡슐 1일 1회 취침 전 복용
82,뮤코큐,"['이부프로펜', '아세트아미노펜']",640276940,1회 5ml 1일 2~3회 복용
83,가나정,"['클라리트로마이신', '아세트아미노펜']",644688551,"1회 1정 1일 2회 아침, 저녁 식후 복용"
84,암로놀,"['세파클러']",647242607,1회 5ml 1일 2~3회 복용
85,듀파에이,"['이토프리드염산염']",640200965,1회 10ml씩 1일 3회 복용
86,타이레플러스,"['암로디핀']",647491413,1회 5ml 1일 2~3회 복용
87,뮤코릴정,"['레보설피리드']",643681755,1회 5ml 1일 2~3회 복용
88,판토시럽,"['세파클러']",643698666,1회 1~2정씩 1일 3회 식후 복용
89,플루메드,"['레보설피리드', '이부프로펜']",646363267,1회 10ml씩 1일 3회 복용
90,플루골드,"['세파클러', '판토프라졸']",648054733,"1회 1정 1일 2회 아침, 저녁 식후 복용"
91,타이레플러스,"['레보설피리드', '판토프라졸']",640193034,1회 1~2정씩 1일 3회 식후 복용
92,판토골드,"['레보설피리드']",643997759,1회 1캡슐 1일 1회 취침 전 복용
93,가나놀,"['이부프로펜']",644899270,"1회 1정 1일 2회 아침, 저녁 식후 복용"
94,플루메드,"['판토프라졸']",647329856,"1회 1정 1일 2회 아침, 저녁 식후 복용"
95,타이레큐,"['암로디핀']",641788090,1회 1캡슐 1일 1회 취침 전 복용
96,타이레티,"['암로디핀', '로사르탄칼륨']",646728804,1회 1~2정씩 1일 3회 식후 복용
97,가나정,"['로사르탄칼륨']",648950833,1회 10ml씩 1일 3회 복용
98,암로놀,"['이부프로펜']",648684305,1회 10ml씩 1일 3회 복용
99,세파메드,"['이부프로펜']",642799539,1회 5ml 1일 2~3회 복용
100,암로정,"['레보설피리드']",647945250,1회 1~2정씩 1일 3회 식후 복용
