disease_id,name_ko,name_en,disease_code,category,main_symptoms,guideline,department,sub_department,desc_url
1,수두,Perferendis,D0001,바이러스 질환,"['물집', '열감']","['수두 의심 시 병원 내원 권장', '바이러스 질환 관련 진료과 방문']",외과,성형외과,https://yu.kr/
2,무좀,Veritatis,D0002,손발톱 질환,"['통증', '열감']","['무좀 의심 시 병원 내원 권장', '손발톱 질환 관련 진료과 방문']",외과,류마티스내과,http://yu.com/
3,루푸스,Non,D0003,자가면역 질환,"['통증', '물집']","['루푸스 의심 시 병원 내원 권장', '자가면역 질환 관련 진료과 방문']",외과,감염내과,http://www.ancoei.net/
4,화상,Accusantium,D0004,화상,"['물집', '열감']","['화상 의심 시 병원 내원 권장', '화상 관련 진료과 방문']",외과,감염내과,http://www.jusighoesa.kr/
5,흑색종,Quibusdam,D0005,색소 질환,"['물집', '통증']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",외과,류마티스내과,https://ijo.com/
6,혈관종,Voluptas,D0006,혈관운동성 질환,"['가려움', '화끈거림']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,감염내과,http://gimseogim.com/
7,수두,Repellendus,D0007,바이러스 질환,"['가려움', '화끈거림']","['수두 의심 시 병원 내원 권장', '바이러스 질환 관련 진료과 방문']",내과,응급의학과,https://yu.org/
8,농가진,Quam,D0008,세균 감염,"['통증', '가려움']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",내과,감염내과,https://www.jusighoesa.org/
9,자상,Accusantium,D0009,자상,"['통증', '열감']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",외과,응급의학과,https://ju.kr/
10,무좀,Id,D0010,손발톱 질환,"['가려움', '통증']","['무좀 의심 시 병원 내원 권장', '손발톱 질환 관련 진료과 방문']",외과,류마티스내과,http://www.hanigim.org/
11,농가진,Molestias,D0011,세균 감염,"['통증', '열감']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",외과,피부과,http://jusighoesa.com/
12,절개상,Iure,D0012,절개성 상처,"['화끈거림', '열감']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",내과,피부과,http://www.coehancoe.kr/
13,흑색종,Ut,D0013,색소 질환,"['통증', '열감']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",내과,응급의학과,https://www.yu.com/
14,절개상,Occaecati,D0014,절개성 상처,"['가려움', '화끈거림']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",외과,응급의학과,https://www.jusighoesa.org/
15,자상,Est,D0015,자상,"['통증', '열감']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",내과,피부과,https://www.ogimu.org/
16,혈관종,Eum,D0016,혈관운동성 질환,"['가려움', '물집']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",내과,응급의학과,https://www.jusighoesa.com/
17,루푸스,Numquam,D0017,자가면역 질환,"['물집', '가려움']","['루푸스 의심 시 병원 내원 권장', '자가면역 질환 관련 진료과 방문']",외과,응급의학과,https://www.jusighoesa.net/
18,두부백선,Eius,D0018,기생충 감염,"['화끈거림', '열감']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",외과,응급의학과,https://www.gimgimi.org/
19,아토피,Veniam,D0019,염증성 피부질환,"['물집', '열감']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",내과,피부과,https://www.hongjeong.net/
20,혈관종,Facilis,D0020,혈관운동성 질환,"['물집', '통증']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",내과,류마티스내과,https://www.yuhanhoesa.kr/
21,수두,Sint,D0021,바이러스 질환,"['가려움', '물집']","['수두 의심 시 병원 내원 권장', '바이러스 질환 관련 진료과 방문']",외과,피부과,https://www.jusighoesa.com/
22,찰과상,Illo,D0022,표재성 상처,"['통증', '열감']","['찰과상 의심 시 병원 내원 권장', '표재성 상처 관련 진료과 방문']",내과,성형외과,https://www.songgim.net/
23,농가진,Neque,D0023,세균 감염,"['가려움', '열감']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",내과,응급의학과,http://www.yuhanhoesa.kr/
24,무좀,Voluptatibus,D0024,손발톱 질환,"['화끈거림', '열감']","['무좀 의심 시 병원 내원 권장', '손발톱 질환 관련 진료과 방문']",내과,피부과,http://jusighoesa.kr/
25,화상,Repellendus,D0025,화상,"['물집', '가려움']","['화상 의심 시 병원 내원 권장', '화상 관련 진료과 방문']",내과,감염내과,https://iim.kr/
26,농가진,Neque,D0026,세균 감염,"['열감', '물집']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",내과,성형외과,https://yuhanhoesa.org/
27,아토피,Amet,D0027,염증성 피부질환,"['가려움', '물집']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",외과,성형외과,http://www.yu.com/
28,자상,Expedita,D0028,자상,"['가려움', '물집']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",내과,류마티스내과,http://yuhanhoesa.org/
29,무좀,Qui,D0029,손발톱 질환,"['통증', '열감']","['무좀 의심 시 병원 내원 권장', '손발톱 질환 관련 진료과 방문']",외과,류마티스내과,http://www.jusighoesa.kr/
30,무좀,Asperiores,D0030,손발톱 질환,"['가려움', '물집']","['무좀 의심 시 병원 내원 권장', '손발톱 질환 관련 진료과 방문']",내과,류마티스내과,https://jusighoesa.kr/
31,아토피,Natus,D0031,염증성 피부질환,"['통증', '가려움']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",외과,성형외과,https://www.gimgimi.kr/
32,대상포진,Officiis,D0032,수포성 질환,"['물집', '가려움']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",외과,피부과,https://www.gimhwangheo.net/
33,아토피,Quibusdam,D0033,염증성 피부질환,"['가려움', '통증']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",내과,성형외과,http://www.hanbag.kr/
34,농가진,Nisi,D0034,세균 감염,"['가려움', '통증']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",내과,감염내과,http://www.jangbag.kr/
35,아토피,Dignissimos,D0035,염증성 피부질환,"['통증', '화끈거림']","['아토피 의심 시 병원 내원 권장', '염증성 피부질환 관련 진료과 방문']",외과,성형외과,https://yu.com/
36,두부백선,Laudantium,D0036,기생충 감염,"['물집', '통증']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",외과,류마티스내과,http://www.ju.org/
37,자상,Tenetur,D0037,자상,"['가려움', '열감']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",외과,응급의학과,https://www.yu.com/
38,농가진,Voluptatem,D0038,세균 감염,"['통증', '물집']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",외과,류마티스내과,http://www.jusighoesa.net/
39,두부백선,Neque,D0039,기생충 감염,"['통증', '화끈거림']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",외과,피부과,http://jusighoesa.kr/
40,자상,Eveniet,D0040,자상,"['통증', '열감']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",외과,류마티스내과,http://www.gimyang.com/
41,절개상,Explicabo,D0041,절개성 상처,"['열감', '가려움']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",외과,성형외과,http://www.bagi.com/
42,혈관종,Ad,D0042,혈관운동성 질환,"['열감', '통증']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,류마티스내과,https://yu.kr/
43,두부백선,Aperiam,D0043,기생충 감염,"['통증', '열감']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",내과,피부과,http://gimgim.kr/
44,자상,Ratione,D0044,자상,"['가려움', '열감']","['자상 의심 시 병원 내원 권장', '자상 관련 진료과 방문']",내과,류마티스내과,http://www.yuhanhoesa.com/
45,두부백선,Corporis,D0045,기생충 감염,"['화끈거림', '열감']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",외과,류마티스내과,https://coebag.kr/
46,혈관종,Ut,D0046,혈관운동성 질환,"['열감', '물집']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,피부과,https://www.icoe.com/
47,찰과상,Saepe,D0047,표재성 상처,"['열감', '통증']","['찰과상 의심 시 병원 내원 권장', '표재성 상처 관련 진료과 방문']",외과,응급의학과,https://www.jusighoesa.kr/
48,대상포진,Nobis,D0048,수포성 질환,"['화끈거림', '가려움']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",외과,피부과,http://bagigim.com/
49,절개상,Accusamus,D0049,절개성 상처,"['물집', '가려움']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",내과,성형외과,https://yu.net/
50,절개상,Occaecati,D0050,절개성 상처,"['화끈거림', '열감']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",외과,감염내과,http://sinmun.net/
51,흑색종,Labore,D0051,색소 질환,"['열감', '통증']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",내과,응급의학과,https://gweongim.org/
52,농가진,Earum,D0052,세균 감염,"['물집', '열감']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",내과,응급의학과,http://www.yu.kr/
53,두부백선,Quisquam,D0053,기생충 감염,"['화끈거림', '열감']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",외과,감염내과,http://igimgim.net/
54,농가진,Commodi,D0054,세균 감염,"['물집', '통증']","['농가진 의심 시 병원 내원 권장', '세균 감염 관련 진료과 방문']",내과,피부과,http://www.jusighoesa.org/
55,혈관종,Expedita,D0055,혈관운동성 질환,"['열감', '물집']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,류마티스내과,https://imun.net/
56,흑색종,Fuga,D0056,색소 질환,"['가려움', '통증']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",외과,류마티스내과,https://ijangju.net/
57,혈관종,Ipsam,D0057,혈관운동성 질환,"['열감', '가려움']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,응급의학과,http://www.coebag.kr/
58,혈관종,Odit,D0058,혈관운동성 질환,"['화끈거림', '통증']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,응급의학과,https://gimgim.com/
59,절개상,Nostrum,D0059,절개성 상처,"['가려움', '통증']","['절개상 의심 시 병원 내원 권장', '절개성 상처 관련 진료과 방문']",외과,감염내과,http://www.ijingim.com/
60,화상,Reiciendis,D0060,화상,"['화끈거림', '물집']","['화상 의심 시 병원 내원 권장', '화상 관련 진료과 방문']",외과,피부과,http://guryucoe.kr/
61,혈관종,Ullam,D0061,혈관운동성 질환,"['통증', '화끈거림']","['혈관종 의심 시 병원 내원 권장', '혈관운동성 질환 관련 진료과 방문']",외과,피부과,https://www.gimgimcoe.net/
62,수두,Accusantium,D0062,바이러스 질환,"['물집', '화끈거림']","['수두 의심 시 병원 내원 권장', '바이러스 질환 관련 진료과 방문']",외과,응급의학과,http://www.jusighoesa.kr/
63,대상포진,Rerum,D0063,수포성 질환,"['열감', '물집']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",내과,성형외과,http://www.jusighoesa.org/
64,대상포진,Dolore,D0064,수포성 질환,"['통증', '가려움']","['대상포진 의심 시 병원 내원 권장', '수포성 질환 관련 진료과 방문']",내과,피부과,https://ju.kr/
65,두부백선,Facere,D0065,기생충 감염,"['가려움', '열감']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",내과,류마티스내과,https://www.yu.com/
66,루푸스,Inventore,D0066,자가면역 질환,"['통증', '물집']","['루푸스 의심 시 병원 내원 권장', '자가면역 질환 관련 진료과 방문']",외과,피부과,http://yuhanhoesa.kr/
67,흑색종,Dolor,D0067,색소 질환,"['통증', '가려움']","['흑색종 의심 시 병원 내원 권장', '색소 질환 관련 진료과 방문']",외과,성형외과,http://www.yu.org/
68,두부백선,Aliquam,D0068,기생충 감염,"['통증', '물집']","['두부백선 의심 시 병원 내원 권장', '기생충 감염 관련 진료과 방문']",외과,응급의학과,https://www.yu.kr/
69,화상,Est,D0069,화상,"['열감', '가려움']","['화상 의심 시 병원 내원 권장', '화상 관련 진료과 방문']",내과,성형외과,https://www.ju.net/
