hospital_id,map_id,name,contact,address,enrolled_at
1,13520782,장안구보건소,031-228-5716,경기 수원시 장안구 조원동 888,2022-01-01
2,7967132,권선구보건소,031-228-6717,경기 수원시 권선구 탑동 910,2022-01-01
3,8575091,팔달구보건소,031-228-7716,경기 수원시 팔달구 교동 56-1,2022-01-01
4,12347549,영통구보건소,1899-3300,경기 수원시 영통구 영통동 961-18,2022-01-01
5,22541012,수정구보건소,031-729-3870,경기 성남시 수정구 신흥동 3435,2022-01-01
6,10786488,중원구보건소,031-729-3930,경기 성남시 중원구 상대원동 269-10,2022-01-01
7,11040268,분당구보건소,031-729-3990,경기 성남시 분당구 야탑동 349,2022-01-01
8,8544067,의정부보건소,031-870-6010,경기 의정부시 의정부동 516,2022-01-01
9,7865206,만안구보건소,031-8045-3472,경기 안양시 만안구 안양동 532-1,2022-01-01
10,7854688,동안구보건소,031-8045-4472,경기 안양시 동안구 비산동 1111,2022-01-01
11,8642758,부천시보건소,032-320-3000,경기 부천시 원미구 중동 1119,2022-01-01
12,830864893,소사보건소,032-320-3000,경기 부천시 소사구 소사본동 64,2022-01-01
13,13520783,오정보건소,032-320-3000,경기 부천시 오정구 오정동 129,2022-01-01
14,8186207,광명시보건소,1688-3399,경기 광명시 하안동 230,2022-01-01
15,11570897,평택시평택보건소,031-8024-5559,경기 평택시 비전동 850,2022-01-01
16,7842777,동두천시보건소,031-860-3437,경기 동두천시 생연동 714-9,2022-01-01
17,16159077,상록수보건소,1666-1234,경기 안산시 상록구 사동 1584,2022-01-01
18,2110792494,안산시단원보건소,1666-1234,경기 안산시 단원구 초지동 666-8,2022-01-01
19,13521793,고양시덕양구보건소,031-8075-4006,경기 고양시 덕양구 주교동 603,2022-01-01
20,10742120,일산동구보건소,031-8075-4086,경기 고양시 일산동구 마두동 1010,2022-01-01
21,8048375,일산서구보건소,031-8075-4160,경기 고양시 일산서구 일산동 1680-6,2022-01-01
22,11561759,과천보건소,02-2150-3801,경기 과천시 중앙동 1-3,2022-01-01
23,8707767,구리시 보건소,031-550-8987,경기 구리시 인창동 674-3,2022-01-01
24,11561722,남양주보건소,031-590-4471,경기 남양주시 다산동 3159-7,2022-01-01
25,10638232,오산시보건소,031-8036-6025,경기 오산시 오산동 25,2022-01-01
26,8402782,시흥시보건소,031-310-5815,경기 시흥시 대야동 484-5,2022-01-01
27,8199651,군포시보건소,031-461-5465,경기 군포시 부곡동 770-1,2022-01-01
28,8043869,의왕시보건소,031-345-3541,경기 의왕시 고천동 108-2,2022-01-01
29,8620329,하남시보건소,031-790-6555,경기 하남시 신장동 520,2022-01-01
30,11353931,처인구보건소,1577-1122,경기 용인시 처인구 삼가동 556,2022-01-01
31,25529735,기흥구보건소,1577-1122,경기 용인시 기흥구 신갈동 60-3,2022-01-01
32,21659486,수지구보건소,1577-1122,경기 용인시 수지구 풍덕천동 720,2022-01-01
33,8115204,파주보건소,031-940-4800,경기 파주시 금촌동 953-1,2022-01-01
34,10579841,안성시보건소,031-678-5710,경기 안성시 도기동 67-21,2022-01-01
35,10196788,김포시보건소,031-5186-4007,경기 김포시 사우동 869,2022-01-01
36,21659488,화성시서부보건소,031-5189-2551,경기 화성시 향남읍 발안리 309,2022-01-01
37,10157924,광주시보건소,031-760-2110,경기 광주시 경안동 115,2022-01-01
38,27417063,양주시보건소,031-8082-7770,경기 양주시 남방동 1-1,2022-01-01
39,8008426,양평군보건소,031-770-3524,경기 양평군 양평읍 양근리 533-1,2022-01-01
